OID,StopUID,StopID,StopName,StopNameEn,StopAddres,StationID,StopDescri,Updatetime,ProvCode,Lon,Lat,UniqueID
-1,KHH1000263471,1000263471,新興高中(新堀江),Shin Shing High School(Shikuchan), ,3370, ,2024/10/30,KHH,22.624006,120.305177,B1E0010069V090
-1,KHH10002639011,10002639011,電信總局,The Directorate General of Telecommunications, ,3378, ,2024/10/30,KHH,22.633491,120.304949,B1E0010069V090
-1,KHH1000263792,1000263792,瑞隆路,Rueilong Rd., ,3237, ,2024/10/30,KHH,22.605434,120.331932,B1E0010069V090
-1,KHH10002815941,10002815941,遼寧街口(自立路),Liaoning St. Intersection(Zihli Rd.), ,942, ,2024/10/30,KHH,22.642094,120.296143,B1E0010069V090
-1,KHH10002816692,10002816692,遼寧街口(自立路),Liaoning St. Intersection(Zihli Rd.), ,943, ,2024/10/30,KHH,22.64215,120.296339,B1E0010069V090
-1,KHH10002845681,10002845681,壽民路,Shoumin Rd., ,3027, ,2024/10/30,KHH,22.72156,120.296551,B1E0010069V090
-1,KHH10002846071,10002846071,楠梓陸橋,Nanzih Land Bridge, ,3734, ,2024/10/30,KHH,22.724822,120.323745,B1E0010069V090
-1,KHH10002846532,10002846532,中華社區,Jhonghua Community, ,862, ,2024/10/30,KHH,22.709082,120.325053,B1E0010069V090
-1,KHH10002846692,10002846692,楠梓農會,Nanzi Farmers' Association, ,857, ,2024/10/30,KHH,22.728555,120.329506,B1E0010069V090
-1,KHH10003018691,10003018691,東高雄,East Kaohsiung, ,3498, ,2024/10/30,KHH,22.58415,120.368972,B1E0010069V090
-1,KHH10003019332,10003019332,中安路(高鳳路口),Jhongan Rd.(Gaofong Rd. Intersection), ,2880, ,2024/10/30,KHH,22.584695,120.36698,B1E0010069V090
-1,KHH10003018551,10003018551,山明路五巷,Shanming Rd. 5th lane, ,3488, ,2024/10/30,KHH,22.56553,120.367503,B1E0010069V090
-1,KHH10003019522,10003019522,高雄餐旅大學(營口路),National Kaohsiung University of Hospitality and Tourism(Yingkou Rd.), ,3491, ,2024/10/30,KHH,22.566297,120.370486,B1E0010069V090
-1,KHH1000309512,1000309512,小港站,Siaogang Station, ,2460, ,2024/10/30,KHH,22.565363,120.34063,B1E0010069V090
-1,KHH10003139272,10003139272,民族路(明誠路口),Minzu Rd.(Mingcheng Rd. Intersection), ,47, ,2024/10/30,KHH,22.661489,120.316087,B1E0010069V090
-1,KHH100031178572,1.00031E+11,立文路,Liwen Rd., ,2159, ,2024/10/30,KHH,22.664363,120.305893,B1E0010069V090
-1,KHH10003142641,10003142641,裕豐街口,Yufong St. Intersection, ,4053, ,2024/10/30,KHH,22.66497,120.29493,B1E0010069V090
-1,KHH10003142091,10003142091,富國路,Fuguo Rd., ,3644, ,2024/10/30,KHH,22.663413,120.306692,B1E0010069V090
-1,KHH10003144411,10003144411,重平路口,Jhongping Rd. Intersection, ,3841, ,2024/10/30,KHH,22.685396,120.31113,B1E0010069V090
-1,KHH1000111042,1000111042,青年一路,Cingnian 1st Rd., ,3925, ,2024/10/30,KHH,22.621389,120.306481,B1E0010069V090
-1,KHH1000111142,1000111142,光華路口(光華夜市),Guanghua Rd. Intersection(Guanghua Night Market), ,3668, ,2024/10/30,KHH,22.618349,120.318135,B1E0010069V090
-1,KHH1000111312,1000111312,五權國小(三多二路),Wucyuan Elementry School(Sanduo 2nd Rd.), ,3662, ,2024/10/30,KHH,22.620201,120.323945,B1E0010069V090
-1,KHH100003112802,1.00003E+11,高鐵路口(左營新光三越),HSR Gaotie Rd. Intersection(Zuoying Shin Kong Mitsukoshi Department Store), ,4614, ,2024/10/30,KHH,22.688954,120.311574,B1E0010069V090
-1,KHH100003112852,1.00003E+11,重平路口,Jhongping Rd. Intersection, ,3841, ,2024/10/30,KHH,22.685396,120.31113,B1E0010069V090
-1,KHH10000342091,10000342091,富國路,Fuguo Rd., ,3644, ,2024/10/30,KHH,22.663413,120.306692,B1E0010069V090
-1,KHH10000352571,10000352571,警廣站(重忠路),Police Radio Station(Jhongjhong Rd.), ,3803, ,2024/10/30,KHH,22.688241,120.316767,B1E0010069V090
-1,KHH10000357041,10000357041,捷運巨蛋站(裕誠路),MRT Kaohsiung Arena Station(Yucheng Rd.), ,4144, ,2024/10/30,KHH,22.66583,120.30292,B1E0010069V090
-1,KHH100006133252,1.00006E+11,楠梓派出所(楠梓路),Nanzi Police Station(Nanzih Rd.), ,854, ,2024/10/30,KHH,22.730506,120.328731,B1E0010069V090
-1,KHH10000634452,10000634452,左營農會,Zuoying Farmers' Association, ,698, ,2024/10/30,KHH,22.682465,120.288314,B1E0010069V090
-1,KHH10000646611,10000646611,楠梓火車站,Nanzi Railway Station, ,2135, ,2024/10/30,KHH,22.727545,120.325656,B1E0010069V090
